trader-1  | 2025-04-30 22:29:08,381 - werkzeug - INFO - 172.22.0.13 - - [30/Apr/2025 22:29:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:29:21,769 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:29:21] "GET /health HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:30:00,715 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 94384.39
trader-1  | 2025-04-30 22:30:00,716 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1792.89
trader-1  | 2025-04-30 22:30:08,477 - werkzeug - INFO - 172.22.0.13 - - [30/Apr/2025 22:30:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-04-30 22:30:28,868 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:30:28] "GET /health HTTP/1.1" 200 -



coordinator-1  | 2025-04-30 22:24:55,414 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:24:55] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-04-30 22:25:06,259 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-04-30 22:25:06,266 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-04-30 22:25:06,267 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-04-30 22:25:06,289 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-04-30 22:25:06,289 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 978.60 USDC)
coordinator-1  | 2025-04-30 22:26:02,513 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:26:02] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-04-30 22:26:06,349 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-04-30 22:26:06,357 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-04-30 22:27:06,423 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-04-30 22:27:06,431 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-04-30 22:27:06,432 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-04-30 22:27:06,460 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-04-30 22:27:06,460 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 978.60 USDC)
coordinator-1  | 2025-04-30 22:27:06,460 - coordinator - INFO - Vérification de la synchronisation des poches...
coordinator-1  | 2025-04-30 22:27:06,472 - coordinator.src.pocket_checker - INFO - ✅ Poches correctement synchronisées
coordinator-1  | 2025-04-30 22:27:09,599 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:27:09] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-04-30 22:28:06,532 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-04-30 22:28:06,543 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-04-30 22:28:16,687 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:28:16] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-04-30 22:29:06,594 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-04-30 22:29:06,604 - coordinator - INFO - ✅ Service Portfolio en bonne santé
coordinator-1  | 2025-04-30 22:29:06,604 - coordinator - INFO - Réallocation périodique des fonds...
coordinator-1  | 2025-04-30 22:29:06,636 - coordinator.src.pocket_checker - INFO - Cache des poches mis à jour: 3 poches
coordinator-1  | 2025-04-30 22:29:06,636 - coordinator.src.pocket_checker - INFO - ✅ Réallocation des poches effectuée (valeur totale: 977.96 USDC)
coordinator-1  | 2025-04-30 22:29:23,783 - werkzeug - INFO - 172.22.0.12 - - [30/Apr/2025 22:29:23] "GET /health HTTP/1.1" 200 -
coordinator-1  | 2025-04-30 22:30:06,693 - coordinator - INFO - Vérification de santé du portfolio...
coordinator-1  | 2025-04-30 22:30:06,701 - coordinator - INFO - ✅ Service Portfolio en bonne santé
