trader-1  | 2025-05-01 17:44:00,919 - urllib3.connectionpool - DEBUG - https://api.binance.com:443 "POST /api/v3/order?symbol=ETHUSDC&side=BUY&type=LIMIT&quantity=0.0300&newClientOrderId=entry_cycle_de73f5f0a9ec40be&timestamp=1746121440670&price=1849.10&timeInForce=GTC&signature=79a918f21b2eaf3aa7acfad272e3741672d99e72901599252c76b9daaebbd37e HTTP/1.1" 400 63
trader-1  | 2025-05-01 17:44:00,920 - trader.src.binance_executor - ERROR - Erreur Binance 400: Signature for this request is not valid.
trader-1  | 2025-05-01 17:44:00,923 - shared.src.redis_client - INFO - ✅ Connexion Redis établie à redis:6379 (DB: 0)
trader-1  | 2025-05-01 17:44:00,924 - trader.src.binance_executor - INFO - ✅ Notification d'échec d'ordre envoyée pour entry_cycle_de73f5f0a9ec40be
trader-1  | 2025-05-01 17:44:00,924 - trader.src.binance_executor - INFO - Passage en mode simulation suite à l'erreur
trader-1  | 2025-05-01 17:44:00,924 - trader.src.binance_executor - INFO - ✅ [DÉMO] Ordre simulé: BUY 0.03 ETHUSDC @ 1849.1
trader-1  | 2025-05-01 17:44:00,925 - trader.src.cycle_manager - ERROR - ❌ Erreur lors de l'enregistrement de l'exécution en base de données: connection already closed
trader-1  | 2025-05-01 17:44:00,937 - trader.src.cycle_manager - ERROR - ❌ Erreur lors de l'enregistrement du cycle en base de données: not all arguments converted during string formatting
trader-1  | 2025-05-01 17:44:00,937 - trader.src.cycle_manager - INFO - ✅ Cycle cycle_de73f5f0a9ec40be créé avec succès: BUY 0.03 ETHUSDC @ 1849.1
trader-1  | 2025-05-01 17:44:00,937 - trader.src.order_manager - INFO - ✅ Nouveau cycle actif créé: cycle_de73f5f0a9ec40be
trader-1  | 2025-05-01 17:44:00,937 - trader.src.order_manager - INFO - État du système - Cycles actifs: 1
trader-1  | 2025-05-01 17:44:00,938 - trader.src.order_manager - INFO - Cycle cycle_de73f5f0a9ec40be: ETHUSDC active_buy, entrée à 1849.1, quantité: 0.03
trader-1  | 2025-05-01 17:44:00,938 - trader.src.order_manager - INFO - Derniers prix connus: 2 symboles
trader-1  | 2025-05-01 17:44:00,938 - trader.src.order_manager - DEBUG - Prix de BTCUSDC: 96610.0
trader-1  | 2025-05-01 17:44:00,938 - trader.src.order_manager - DEBUG - Prix de ETHUSDC: 1849.1
trader-1  | 2025-05-01 17:44:00,938 - trader.src.order_manager - INFO - Abonnements Redis actifs: 1 canaux
trader-1  | 2025-05-01 17:44:00,938 - trader.src.order_manager - DEBUG - Abonné à: roottrading:analyze:signal
trader-1  | 2025-05-01 17:44:08,079 - werkzeug - INFO - 172.21.0.10 - - [01/May/2025 17:44:08] "GET /orders HTTP/1.1" 200 -
trader-1  | 2025-05-01 17:45:00,284 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: BTCUSDC @ 96628.24
trader-1  | 2025-05-01 17:45:00,285 - trader.src.order_manager - DEBUG - 💰 Prix mis à jour: ETHUSDC @ 1849.56
